,Line_Lyrics,NumWords,Normalize_Lyrics
0,one one one one one,5,one one one one one
1,talkin in my sleep at night makin myself crazy,9,talkin sleep night makin myself crazy
2,wrote it down and read it out hopin it would save me,12,wrote down and read out hopin would save
3,my love he makes me feel like nobody else nobody else,11,love makes feel like nobody else nobody else
4,but my love he doesnt love me so i tell myself i tell myself,14,but love doesnt love tell myself tell myself
5,one dont pick up the phone,6,one dont pick the phone
6,you know hes only callin cause hes drunk and alone,10,you know hes only callin cause hes drunk and alone
7,two dont let him in,5,two dont let him
8,youll have to kick him out again,7,youll have kick him out again
9,three dont be his friend,5,three dont his friend
10,you know youre gonna wake up in his bed in the morning,12,you know youre gonna wake his bed the morning
11,and if youre under him you aint gettin over him,10,and youre under him you aint gettin over him
12,i got new rules i count em,7,got new rules count
13,i got new rules i count em,7,got new rules count
14,i gotta tell them to myself,6,gotta tell them myself
15,i got new rules i count em,7,got new rules count
16,i gotta tell them to myself,6,gotta tell them myself
17,i keep pushin forwards but he keeps pullin me backwards,10,keep pushin forwards but keeps pullin backwards
18,now im standin back from it i finally see the pattern,11,now standin back from finally see the pattern
19,but my love he doesnt love me so i tell myself i tell myself,14,but love doesnt love tell myself tell myself
20,i do i do i do,6,
21,one dont pick up the phone,6,one dont pick the phone
22,you know hes only callin cause hes drunk and alone,10,you know hes only callin cause hes drunk and alone
23,two dont let him in,5,two dont let him
24,youll have to kick him out again,7,youll have kick him out again
25,three dont be his friend,5,three dont his friend
26,you know youre gonna wake up in his bed in the morning,12,you know youre gonna wake his bed the morning
27,and if youre under him you aint gettin over him,10,and youre under him you aint gettin over him
28,i got new rules i count em,7,got new rules count
29,i got new rules i count em,7,got new rules count
30,i gotta tell them to myself,6,gotta tell them myself
31,i got new rules i count em,7,got new rules count
32,i gotta tell them to myself,6,gotta tell them myself
33,practice makes perfect,3,practice makes perfect
34,im still tryna learn it by heart ,7,still tryna learn heart
35,eat sleep and breathe it,5,eat sleep and breathe
36,rehearse and repeat it cause i ,6,rehearse and repeat cause
37,one dont pick up the phone ,6,one dont pick the phone
38,you know hes only callin cause hes drunk and alone ,10,you know hes only callin cause hes drunk and alone
39,two dont let him in ,5,two dont let him
40,youll have to kick him out again ,7,youll have kick him out again
41,three dont be his friend,5,three dont his friend
42,you know youre gonna wake up in his bed in the morning,12,you know youre gonna wake his bed the morning
43,and if youre under him you aint gettin over him,10,and youre under him you aint gettin over him
44,i got new rules i count em,7,got new rules count
45,i got new rules i count em,7,got new rules count
46,i gotta tell them to myself,6,gotta tell them myself
47,i got new rules i count em,7,got new rules count
48,i gotta tell them to myself,6,gotta tell them myself
49,dont let him in dont let him in,8,dont let him dont let him
50,dont dont dont dont,4,dont dont dont dont
51,dont be his friend dont be his friend,8,dont his friend dont his friend
52,dont dont dont dont,4,dont dont dont dont
53,dont let him in dont let him in,8,dont let him dont let him
54,dont dont dont dont,4,dont dont dont dont
55,dont be his friend dont be his friend,8,dont his friend dont his friend
56,dont dont dont dont,4,dont dont dont dont
57,youre gettin over him,4,youre gettin over him
58,it was great at the very start,7,was great the very start
59,hands on each other,4,hands each other
60,couldnt stand to be far apart,6,couldnt stand far apart
61,closer the better,3,closer the better
62,now were picking fights and slamming doors,7,now were picking fights and slamming doors
63,magnifying all our flaws,4,magnifying all our flaws
64,and i wonder why wonder what for,7,and wonder why wonder what for
65,why we keep coming back for more,7,why keep coming back for more
66,is it just our bodies are we both losing our minds ,11,just our bodies are both losing our minds
67,is the only reason youre holding me tonight,8,the only reason youre holding tonight
68,cause were scared to be lonely ,6,cause were scared lonely
69,do we need somebody just to feel like were alright ,10,need somebody just feel like were alright
70,is the only reason youre holding me tonight,8,the only reason youre holding tonight
71,cause were scared to be lonely ,6,cause were scared lonely
72,too much time losing track of us,7,too much time losing track
73,where was the real ,4,where was the real
74,undefined spiraling out of touch,5,undefined spiraling out touch
75,forgot how it feels,4,forgot how feels
76,all the messed up fights and slamming doors,8,all the messed fights and slamming doors
77,magnifying all our flaws,4,magnifying all our flaws
78,and i wonder why wonder what for,7,and wonder why wonder what for
79,its like we keep coming back for more,8,its like keep coming back for more
80,is it just our bodies are we both losing our minds ,11,just our bodies are both losing our minds
